Start,Open_Daily,Open_Log_Returns_Daily,Open_Trend_Daily,Open_Seasonal_Daily,Open_Residual_Daily,Open_Weekly,Open_Log_Returns_Weekly,Open_Trend_Weekly,Open_Seasonal_Weekly,Open_Residual_Weekly,Open_Monthly,Open_Log_Returns_Monthly,Open_Trend_Monthly,Open_Seasonal_Monthly,Open_Residual_Monthly,Open_Quarterly,Open_Log_Returns_Quarterly,Open_Trend_Quarterly,Open_Seasonal_Quarterly,Open_Residual_Quarterly,High_Daily,High_Log_Returns_Daily,High_Trend_Daily,High_Seasonal_Daily,High_Residual_Daily,High_Weekly,High_Log_Returns_Weekly,High_Trend_Weekly,High_Seasonal_Weekly,High_Residual_Weekly,High_Monthly,High_Log_Returns_Monthly,High_Trend_Monthly,High_Seasonal_Monthly,High_Residual_Monthly,High_Quarterly,High_Log_Returns_Quarterly,High_Trend_Quarterly,High_Seasonal_Quarterly,High_Residual_Quarterly,Low_Daily,Low_Log_Returns_Daily,Low_Trend_Daily,Low_Seasonal_Daily,Low_Residual_Daily,Low_Weekly,Low_Log_Returns_Weekly,Low_Trend_Weekly,Low_Seasonal_Weekly,Low_Residual_Weekly,Low_Monthly,Low_Log_Returns_Monthly,Low_Trend_Monthly,Low_Seasonal_Monthly,Low_Residual_Monthly,Low_Quarterly,Low_Log_Returns_Quarterly,Low_Trend_Quarterly,Low_Seasonal_Quarterly,Low_Residual_Quarterly,Close_Daily,Close_Log_Returns_Daily,Close_Trend_Daily,Close_Seasonal_Daily,Close_Residual_Daily,Close_Weekly,Close_Log_Returns_Weekly,Close_Trend_Weekly,Close_Seasonal_Weekly,Close_Residual_Weekly,Close_Monthly,Close_Log_Returns_Monthly,Close_Trend_Monthly,Close_Seasonal_Monthly,Close_Residual_Monthly,Close_Quarterly,Close_Log_Returns_Quarterly,Close_Trend_Quarterly,Close_Seasonal_Quarterly,Close_Residual_Quarterly,Volume_Daily,Volume_Log_Returns_Daily,Volume_Trend_Daily,Volume_Seasonal_Daily,Volume_Residual_Daily,Volume_Weekly,Volume_Log_Returns_Weekly,Volume_Trend_Weekly,Volume_Seasonal_Weekly,Volume_Residual_Weekly,Volume_Monthly,Volume_Log_Returns_Monthly,Volume_Trend_Monthly,Volume_Seasonal_Monthly,Volume_Residual_Monthly,Volume_Quarterly,Volume_Log_Returns_Quarterly,Volume_Trend_Quarterly,Volume_Seasonal_Quarterly,Volume_Residual_Quarterly,Market Cap_Daily,Market Cap_Log_Returns_Daily,Market Cap_Trend_Daily,Market Cap_Seasonal_Daily,Market Cap_Residual_Daily,Market Cap_Weekly,Market Cap_Log_Returns_Weekly,Market Cap_Trend_Weekly,Market Cap_Seasonal_Weekly,Market Cap_Residual_Weekly,Market Cap_Monthly,Market Cap_Log_Returns_Monthly,Market Cap_Trend_Monthly,Market Cap_Seasonal_Monthly,Market Cap_Residual_Monthly,Market Cap_Quarterly,Market Cap_Log_Returns_Quarterly,Market Cap_Trend_Quarterly,Market Cap_Seasonal_Quarterly,Market Cap_Residual_Quarterly
2021-02-05,36977.782665012,-0.03513378612625582,36977.782665012,0.0,0.0,,,,-63.57929442399078,,,,,369.2811327086281,,,,,1797.9967943874497,,38280.062918168,-0.06518693114086369,38280.062918168,0.0,0.0,,,,39.00202034447665,,,,,439.9964273088657,,,,,2584.9122488777734,,36634.285663123,-0.0441777314313539,36634.285663123,0.0,0.0,,,,-190.351233125292,,,,,668.4131191553909,,,,,2262.6879215700947,,37945.964473995,-0.0322969190077491,37945.964473995,0.0,0.0,,,,-82.51463537812447,,,,,705.7813694573515,,,,,2996.385840405662,,100182647822.41148,-0.05881833168273554,100182647822.41148,0.0,0.0,,,,3500178316.5469003,,,,,-63472733.72874308,,,,,13990024498.976357,,699542082662.3137,-0.05913118900067134,699542082662.3137,0.0,0.0,,,,-1998098162.5039299,,,,,9369976752.347754,,,,,42130150195.39494,
2021-02-06,38300.044187397,-0.024774004322247085,38300.044187397,0.0,0.0,,,,-80.40038158377898,,,,,673.819096012711,,,,,2965.1952590431324,,40858.551618965,0.029907410233307515,40858.551618965,0.0,0.0,,,,-324.09485704437145,,,,,473.7693291018667,,,,,2858.142589144518,,38288.9866536,0.023768774313265923,38288.9866536,0.0,0.0,,,,246.10376387118336,,,,,684.5873428752498,,,,,3510.9398827133336,,39191.507551212,0.007757947448978922,39191.507551212,0.0,0.0,,,,-47.46144530411741,,,,,512.6986461030732,,,,,3441.132298278599,,106251967992.13086,0.031170317550324334,106251967992.13086,0.0,0.0,,,,-4324657241.877995,,,,,-859496555.5372767,,,,,1061403599.4819009,,742154277235.7987,0.030232097008246268,742154277235.7987,0.0,0.0,,,,-829234051.6869258,,,,,10852189487.767906,,,,,61132569847.77778,
2021-02-07,39260.740661719,0.010333803788951648,39260.740661719,0.0,0.0,38179.52250470933,-0.016524662219850418,,-42.69481201907527,,,,,489.05935028686605,,,,,3435.922603292253,,39654.670372592,-0.15332278505037036,39654.670372592,0.0,0.0,39597.761636575,-0.06286743531930884,,-216.26173341613443,,,,,501.297952809077,,,,,3186.679840058826,,37389.634955593,-0.01735276262296515,37389.634955593,0.0,0.0,37437.635757438664,-0.012587239913684376,,134.30720048208238,,,,,391.17776285280246,,,,,3585.3677331730296,,38888.638236331,-0.17282938439665238,38888.638236331,0.0,0.0,38675.37008717933,-0.06578945198514086,,36.49506689836971,,,,,454.02170991056596,,,,,3441.5358143512954,,102991144866.25604,-0.1435509286954229,102991144866.25604,0.0,0.0,103141920226.9328,-0.05706631427594471,,-15467049164.32449,,,,,2803898919.0215583,,,,,-10307776381.8619,,720053161966.9513,-0.06222157743989347,720053161966.9513,0.0,0.0,720583173955.0212,-0.030373556477439514,,-1608170627.8177624,,,,,8830355080.157713,,,,,62116744947.22684,
2021-02-08,38857.116947072,-0.1802777286810506,38857.116947072,0.0,0.0,,,41606.194779588135,12.72491392389754,-2761.8027464400348,,,,470.21802720377167,,,,,3472.6912780957778,,46225.496408246,-0.03544935755499932,46225.496408246,0.0,0.0,,,44102.422717436864,190.0048591212911,1933.0688316878438,,,,401.5909830858679,,,,,4277.253414272112,,38044.110471874,-0.17156881120394613,38044.110471874,0.0,0.0,,,40490.827040699,-171.18852567214728,-2275.528043152848,,,,702.4601729640472,,,,,3122.3937345182285,,46225.496408246,-0.006168520148224187,46225.496408246,0.0,0.0,,,43044.293423696145,65.50472908029664,3115.698255469558,,,,860.0375137023647,,,,,3875.390828752699,,118889434701.5687,-0.43237455468796115,118889434701.5687,0.0,0.0,,,123825771867.11757,-2715483985.9541507,-2220853179.594723,,,,-2645276863.235861,,,,,2178378611.546609,,766279221913.979,-0.1248070787088865,766279221913.979,0.0,0.0,,,787031412077.29,618717032.2721127,-21370907195.58315,,,,9609097401.946295,,,,,73632767680.44846,
2021-02-09,46533.336937715,0.000613448135485134,46533.336937715,0.0,0.0,,,43179.64542211743,67.78663085618182,3285.904884741391,,,,859.6854868852839,,,,,3832.1523823096727,,47893.551624022,0.01286121654457439,47893.551624022,0.0,0.0,,,45584.468647032285,55.44201078573003,2253.6409662039873,,,,1019.6999053099465,,,,,3886.933388273865,,45164.667993773,0.029214765359545685,45164.667993773,0.0,0.0,,,41894.47274736213,-13.250363610005676,3283.4456100208745,,,,409.0814317080314,,,,,3525.040392467198,,46511.520580186,0.036008571718323064,46511.520580186,0.0,0.0,,,44426.66548751685,4.097451405340159,2080.757641263806,,,,749.2690513604824,,,,,3618.402742483932,,183198175979.178,0.3469580086596394,183198175979.178,0.0,0.0,,,129134944478.04239,6051911578.599699,48011319922.53592,,,,3646527601.1514735,,,,,22632669167.408028,,868140615964.038,0.01867212030001895,868140615964.038,0.0,0.0,,,813619633857.3132,604781730.0861567,53916200376.63857,,,,15439226757.661442,,,,,70364870998.43907,
2021-02-10,46504.799902823,0.037134419702200126,46504.799902823,0.0,0.0,,,44465.31099881657,20.693299118259247,2018.7956048881706,,,,732.9227082507243,,,,,3596.433519838373,,47281.526416141,-0.025920309105629678,47281.526416141,0.0,0.0,,,46617.464342780855,214.10551516007382,449.9565582000725,,,,547.0910075461156,,,,,3736.5882995353304,,43864.280561659,-0.004220999625946971,43864.280561659,0.0,0.0,,,43053.527180987134,-27.338958340699786,838.0923390125637,,,,953.8930319134878,,,,,2211.4736117654165,,44866.502278149,-0.06082945991447188,44866.502278149,0.0,0.0,,,45550.274346564285,87.34057978740404,-771.1126482026923,,,,781.1521209017869,,,,,1972.395205423973,,129490884290.81744,0.029106767971062777,129490884290.81744,0.0,0.0,,,134390323106.88606,5289878363.124694,-10189317179.193314,,,,4802558905.8683195,,,,,21773940643.093414,,852080990171.5688,-0.010377538894191454,852080990171.5688,0.0,0.0,,,833236997596.569,2749304043.6402664,16094688531.359612,,,,13624539038.050116,,,,,63815155670.46634,
2021-02-11,44809.542155379,-0.06861190974111803,44809.542155379,0.0,0.0,,,45588.60814822057,85.46964412850642,-864.5356369700762,,,,780.4030082956814,,,,,1891.2690514232343,,48523.099663924,-0.002701960078792314,48523.099663924,0.0,0.0,,,48033.37725139786,41.80218504893431,447.9202274772003,,,,954.3368862129348,,,,,2230.691189269041,,44049.822985271,-0.05326620942061555,44049.822985271,0.0,0.0,,,44444.12514555199,21.718116394879008,-416.0202766758685,,,,1046.8030363722255,,,,,1706.4843243565656,,47680.424437754,0.001214138655720872,47680.424437754,0.0,0.0,,,46948.08741414214,-63.46174648916868,795.7987701010331,,,,1143.8210962964554,,,,,1896.851691199197,,125776147417.46043,-0.0880058034591142,125776147417.46043,0.0,0.0,,,140354365678.15793,7665222133.885343,-22243440394.582836,,,,2660837655.694426,,,,,39128565839.37708,,860969534626.3812,-0.028273597700614165,860969534626.3812,0.0,0.0,,,859557159484.8533,462700036.010082,949675105.5178721,,,,20301166059.25365,,,,,37090010785.92163,
2021-02-12,47991.937162717,0.014528999871333109,47991.937162717,0.0,0.0,,,46986.677642441144,-63.57929442399078,1068.8388146998439,,,,1100.6253230814084,,,,,1864.7442177343687,,48654.384425336,0.01167762144446219,48654.384425336,0.0,0.0,,,48413.283095162864,39.00202034447665,202.09930982865973,,,,1121.8590344837132,,,,,2247.5671982356894,,46459.805609765,0.0012370575892090676,46459.805609765,0.0,0.0,,,45604.67796446343,-190.351233125292,1045.4788784268592,,,,1064.9258773904955,,,,,1971.0738708068575,,47622.56892074,0.011952049954560501,47622.56892074,0.0,0.0,,,47199.013283333144,-82.51463537812447,506.0702727849791,,,,1042.8032227479505,,,,,2255.678601367696,,137346856098.88524,-0.0406121210213794,137346856098.88524,0.0,0.0,,,140789243929.97894,3500178316.5469003,-6942566147.640604,,,,4660007266.872172,,,,,22721943986.62648,,885659635122.4756,0.007006643009163614,885659635122.4756,0.0,0.0,,,877371437213.016,-1998098162.5039299,10286296071.963524,,,,21186239254.16145,,,,,41137365611.127945,
2021-02-13,47299.703224291,0.003725400468806208,47299.703224291,0.0,0.0,,,47185.913402810715,-80.40038158377898,194.19020306406344,,,,1004.75898248167,,,,,2216.6272419487605,,48089.521489205,-0.030242035179425437,48089.521489205,0.0,0.0,,,48763.349649004864,-324.09485704437145,-349.73330275549336,,,,1152.300375087195,,,,,1903.294133993781,,46402.367688975,-0.015428134971541168,46402.367688975,0.0,0.0,,,45893.671756279,246.10376387118336,262.5921688248153,,,,877.6329462442106,,,,,2219.7814312237297,,47056.769564544,-0.03377649959942576,47056.769564544,0.0,0.0,,,47591.80331104529,-47.46144530411741,-487.5723011971679,,,,646.0896677908972,,,,,1844.9371193519219,,143039618394.03668,-0.011813536624570882,143039618394.03668,0.0,0.0,,,132988973380.7806,-4324657241.877995,14375302255.134083,,,,8199858305.457539,,,,,-4587638464.816542,,879475823410.589,-0.027828780399986368,879475823410.589,0.0,0.0,,,883346099675.8964,-829234051.6869258,-3041042213.620447,,,,17807145068.208828,,,,,37333420220.8841,
2021-02-14,47123.820707547,-0.03174169742760592,47123.820707547,0.0,0.0,45588.60814822057,-0.03208986681027857,47560.74311538342,-42.69481201907527,-394.2275958173452,,,,638.2167950741142,,,,,2369.807557081835,,49566.060732911,0.013839067069954993,49566.060732911,0.0,0.0,48033.37725139786,-0.00799082240855074,49510.982532673,-216.26173341613443,271.3399336541346,,,,657.4167216263872,,,,,2497.7969865799437,,47123.820707547,0.020492132049276506,47123.820707547,0.0,0.0,44444.125145551996,-0.02764860003200265,46640.017099706274,134.30720048208238,349.4964073586416,,,,844.7949619700886,,,,,2494.99529068533,,48673.329709376,0.014305764007878008,48673.329709376,0.0,0.0,46948.087414142145,-0.00532770790366277,48629.10597600414,36.49506689836971,7.728666473488836,,,,903.7171472167629,,,,,2734.3337915411958,,144739442865.15906,0.1714586897590021,144739442865.15906,0.0,0.0,140354365678.15793,-0.003611792771903052,134878117754.76578,-15467049164.32449,25328374274.71777,,,,4319050151.629189,,,,,-17336732872.53759,,904294295184.942,0.01483381069009483,904294295184.942,0.0,0.0,859557159484.8534,-0.02153920310062873,897087855416.4497,-1608170627.8177624,8814610396.310072,,,,14932987775.31499,,,,,47509993992.857895,
