Start,Open_Daily,Open_Log_Returns_Daily,Open_Without_Noise_Daily,Open_Weekly,Open_Log_Returns_Weekly,Open_Without_Noise_Weekly,Open_Monthly,Open_Log_Returns_Monthly,Open_Without_Noise_Monthly,Open_Quarterly,Open_Log_Returns_Quarterly,Open_Without_Noise_Quarterly,High_Daily,High_Log_Returns_Daily,High_Without_Noise_Daily,High_Weekly,High_Log_Returns_Weekly,High_Without_Noise_Weekly,High_Monthly,High_Log_Returns_Monthly,High_Without_Noise_Monthly,High_Quarterly,High_Log_Returns_Quarterly,High_Without_Noise_Quarterly,Low_Daily,Low_Log_Returns_Daily,Low_Without_Noise_Daily,Low_Weekly,Low_Log_Returns_Weekly,Low_Without_Noise_Weekly,Low_Monthly,Low_Log_Returns_Monthly,Low_Without_Noise_Monthly,Low_Quarterly,Low_Log_Returns_Quarterly,Low_Without_Noise_Quarterly,Close_Daily,Close_Log_Returns_Daily,Close_Without_Noise_Daily,Close_Weekly,Close_Log_Returns_Weekly,Close_Without_Noise_Weekly,Close_Monthly,Close_Log_Returns_Monthly,Close_Without_Noise_Monthly,Close_Quarterly,Close_Log_Returns_Quarterly,Close_Without_Noise_Quarterly,Volume_Daily,Volume_Log_Returns_Daily,Volume_Without_Noise_Daily,Volume_Weekly,Volume_Log_Returns_Weekly,Volume_Without_Noise_Weekly,Volume_Monthly,Volume_Log_Returns_Monthly,Volume_Without_Noise_Monthly,Volume_Quarterly,Volume_Log_Returns_Quarterly,Volume_Without_Noise_Quarterly,Market Cap_Daily,Market Cap_Log_Returns_Daily,Market Cap_Without_Noise_Daily,Market Cap_Weekly,Market Cap_Log_Returns_Weekly,Market Cap_Without_Noise_Weekly,Market Cap_Monthly,Market Cap_Log_Returns_Monthly,Market Cap_Without_Noise_Monthly,Market Cap_Quarterly,Market Cap_Log_Returns_Quarterly,Market Cap_Without_Noise_Quarterly
2021-02-05,36977.782665012,-0.03513378612625582,36977.782665012,,,,,,,,,,38280.062918168,-0.06518693114086369,38280.062918168,,,,,,,,,,36634.285663123,-0.0441777314313539,36634.285663123,,,,,,,,,,37945.964473995,-0.0322969190077491,37945.964473995,,,,,,,,,,100182647822.41148,-0.05881833168273554,100182647822.41148,,,,,,,,,,699542082662.3137,-0.05913118900067134,699542082662.3137,,,,,,,,,
2021-02-06,38300.044187397,-0.024774004322247085,38300.044187397,,,,,,,,,,40858.551618965,0.029907410233307515,40858.551618965,,,,,,,,,,38288.9866536,0.023768774313265923,38288.9866536,,,,,,,,,,39191.507551212,0.007757947448978922,39191.507551212,,,,,,,,,,106251967992.13086,0.031170317550324334,106251967992.13086,,,,,,,,,,742154277235.7987,0.030232097008246268,742154277235.7987,,,,,,,,,
2021-02-07,39260.740661719,0.010333803788951648,39260.740661719,38179.52250470933,-0.016524662219850418,,,,,,,,39654.670372592,-0.15332278505037036,39654.670372592,39597.761636575,-0.06286743531930884,,,,,,,,37389.634955593,-0.01735276262296515,37389.634955593,37437.635757438664,-0.012587239913684376,,,,,,,,38888.638236331,-0.17282938439665238,38888.638236331,38675.37008717933,-0.06578945198514086,,,,,,,,102991144866.25604,-0.1435509286954229,102991144866.25604,103141920226.9328,-0.05706631427594471,,,,,,,,720053161966.9513,-0.06222157743989347,720053161966.9513,720583173955.0212,-0.030373556477439514,,,,,,,
2021-02-08,38857.116947072,-0.1802777286810506,38857.116947072,,,41618.919693512034,,,,,,,46225.496408246,-0.03544935755499932,46225.496408246,,,44292.427576558155,,,,,,,38044.110471874,-0.17156881120394613,38044.110471874,,,40319.63851502685,,,,,,,46225.496408246,-0.006168520148224187,46225.496408246,,,43109.79815277644,,,,,,,118889434701.5687,-0.43237455468796115,118889434701.5687,,,121110287881.16342,,,,,,,766279221913.979,-0.1248070787088865,766279221913.979,,,787650129109.5621,,,,,,
2021-02-09,46533.336937715,0.000613448135485134,46533.336937715,,,43247.43205297361,,,,,,,47893.551624022,0.01286121654457439,47893.551624022,,,45639.910657818014,,,,,,,45164.667993773,0.029214765359545685,45164.667993773,,,41881.22238375212,,,,,,,46511.520580186,0.036008571718323064,46511.520580186,,,44430.76293892219,,,,,,,183198175979.178,0.3469580086596394,183198175979.178,,,135186856056.64209,,,,,,,868140615964.038,0.01867212030001895,868140615964.038,,,814224415587.3994,,,,,,
2021-02-10,46504.799902823,0.037134419702200126,46504.799902823,,,44486.00429793483,,,,,,,47281.526416141,-0.025920309105629678,47281.526416141,,,46831.56985794093,,,,,,,43864.280561659,-0.004220999625946971,43864.280561659,,,43026.18822264644,,,,,,,44866.502278149,-0.06082945991447188,44866.502278149,,,45637.61492635169,,,,,,,129490884290.81744,0.029106767971062777,129490884290.81744,,,139680201470.01074,,,,,,,852080990171.5688,-0.010377538894191454,852080990171.5688,,,835986301640.2092,,,,,,
2021-02-11,44809.542155379,-0.06861190974111803,44809.542155379,,,45674.077792349075,,,,,,,48523.099663924,-0.002701960078792314,48523.099663924,,,48075.17943644679,,,,,,,44049.822985271,-0.05326620942061555,44049.822985271,,,44465.843261946866,,,,,,,47680.424437754,0.001214138655720872,47680.424437754,,,46884.62566765297,,,,,,,125776147417.46043,-0.0880058034591142,125776147417.46043,,,148019587812.04327,,,,,,,860969534626.3812,-0.028273597700614165,860969534626.3812,,,860019859520.8634,,,,,,
2021-02-12,47991.937162717,0.014528999871333109,47991.937162717,,,46923.098348017156,,,,,,,48654.384425336,0.01167762144446219,48654.384425336,,,48452.285115507344,,,,,,,46459.805609765,0.0012370575892090676,46459.805609765,,,45414.32673133814,,,,,,,47622.56892074,0.011952049954560501,47622.56892074,,,47116.49864795502,,,,,,,137346856098.88524,-0.0406121210213794,137346856098.88524,,,144289422246.52585,,,,,,,885659635122.4756,0.007006643009163614,885659635122.4756,,,875373339050.5121,,,,,,
2021-02-13,47299.703224291,0.003725400468806208,47299.703224291,,,47105.513021226936,,,,,,,48089.521489205,-0.030242035179425437,48089.521489205,,,48439.25479196049,,,,,,,46402.367688975,-0.015428134971541168,46402.367688975,,,46139.775520150186,,,,,,,47056.769564544,-0.03377649959942576,47056.769564544,,,47544.341865741175,,,,,,,143039618394.03668,-0.011813536624570882,143039618394.03668,,,128664316138.9026,,,,,,,879475823410.589,-0.027828780399986368,879475823410.589,,,882516865624.2095,,,,,,
2021-02-14,47123.820707547,-0.03174169742760592,47123.820707547,45588.60814822057,-0.03208986681027857,47518.04830336435,,,,,,,49566.060732911,0.013839067069954993,49566.060732911,48033.37725139786,-0.00799082240855074,49294.720799256866,,,,,,,47123.820707547,0.020492132049276506,47123.820707547,44444.125145551996,-0.02764860003200265,46774.32430018835,,,,,,,48673.329709376,0.014305764007878008,48673.329709376,46948.087414142145,-0.00532770790366277,48665.60104290251,,,,,,,144739442865.15906,0.1714586897590021,144739442865.15906,140354365678.15793,-0.003611792771903052,119411068590.44128,,,,,,,904294295184.942,0.01483381069009483,904294295184.942,859557159484.8534,-0.02153920310062873,895479684788.632,,,,,,
